epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2015.97,1.0921,0.88443,0.9455,0.94627,0.91107,0.96151,0.61088,1.16081,0.80811,0.91273,0.0004456,0.0004456,0.0004456
58,2050.23,1.08826,0.88459,0.94928,0.91062,0.95346,0.9599,0.62442,1.09149,0.79524,0.91427,0.0004357,0.0004357,0.0004357
59,2086.16,1.08042,0.84668,0.95181,0.91266,0.93363,0.94906,0.60698,1.12055,0.81375,0.92053,0.0004258,0.0004258,0.0004258
60,2121.77,1.04832,0.83215,0.94006,0.87889,0.90809,0.90826,0.57427,1.26642,0.8829,0.92917,0.0004159,0.0004159,0.0004159
61,2157.76,1.08026,0.85416,0.93603,0.88495,0.88222,0.90569,0.56586,1.27857,0.87373,0.92337,0.000406,0.000406,0.000406
62,2193.15,1.09312,0.87322,0.94901,0.9108,0.87081,0.93362,0.59424,1.1979,0.80878,0.91999,0.0003961,0.0003961,0.0003961
63,2227.23,1.04818,0.85612,0.94274,0.83924,0.95898,0.93491,0.59509,1.16037,0.81945,0.90787,0.0003862,0.0003862,0.0003862
64,2262.06,1.05809,0.85024,0.92071,0.8583,0.95488,0.93149,0.59197,1.15486,0.81337,0.89904,0.0003763,0.0003763,0.0003763
65,2296.64,1.08142,0.81875,0.92256,0.90333,0.93259,0.93367,0.5989,1.17795,0.78888,0.89817,0.0003664,0.0003664,0.0003664
66,2332.11,1.03863,0.81717,0.93301,0.87634,0.97214,0.9514,0.61896,1.1301,0.75258,0.89305,0.0003565,0.0003565,0.0003565
67,2367.49,1.01315,0.83194,0.92916,0.92345,0.95782,0.9663,0.65326,1.06103,0.73449,0.88605,0.0003466,0.0003466,0.0003466
68,2403,1.0483,0.85592,0.92434,0.9527,0.93291,0.97791,0.65276,1.16324,0.73693,0.89444,0.0003367,0.0003367,0.0003367
69,2438.37,1.04196,0.84023,0.93724,0.93061,0.94901,0.97124,0.63154,1.23208,0.74846,0.89874,0.0003268,0.0003268,0.0003268
70,2473.42,1.04959,0.8191,0.93031,0.9445,0.94555,0.96855,0.58708,1.31324,0.78399,0.90769,0.0003169,0.0003169,0.0003169
71,2507.69,1.05133,0.80895,0.922,0.90357,0.96633,0.9661,0.61321,1.19194,0.7668,0.89492,0.000307,0.000307,0.000307
72,2542.89,1.03926,0.82654,0.92532,0.9006,0.97214,0.95169,0.63524,1.12576,0.76252,0.88823,0.0002971,0.0002971,0.0002971
73,2577.42,1.02607,0.81964,0.92247,0.89991,0.9631,0.9353,0.6368,1.06614,0.78572,0.8807,0.0002872,0.0002872,0.0002872
74,2613.42,1.03308,0.81072,0.91473,0.90402,0.92948,0.93574,0.62237,1.08675,0.79321,0.88005,0.0002773,0.0002773,0.0002773
75,2649.5,1.02503,0.77366,0.91142,0.92524,0.93339,0.93785,0.60566,1.1616,0.82027,0.88242,0.0002674,0.0002674,0.0002674
76,2686.14,1.03431,0.80411,0.91464,0.90253,0.95322,0.93633,0.60472,1.2069,0.82495,0.88715,0.0002575,0.0002575,0.0002575
77,2721.58,0.99503,0.75908,0.89399,0.90218,0.94499,0.93648,0.61453,1.18201,0.82257,0.88668,0.0002476,0.0002476,0.0002476
78,2756.03,1.01458,0.77152,0.9067,0.90469,0.96691,0.95561,0.6151,1.17637,0.82946,0.88689,0.0002377,0.0002377,0.0002377
79,2790.77,0.9744,0.77191,0.90928,0.90457,0.98133,0.94779,0.61326,1.20845,0.79835,0.88708,0.0002278,0.0002278,0.0002278
80,2825.71,1.03558,0.7709,0.91037,0.8886,0.98541,0.94664,0.60356,1.23244,0.7895,0.88835,0.0002179,0.0002179,0.0002179
81,2860.81,0.98985,0.7616,0.89412,0.90234,0.97365,0.96179,0.61295,1.20639,0.74462,0.8828,0.000208,0.000208,0.000208
82,2896.27,1.00742,0.78075,0.91945,0.9288,0.97338,0.96779,0.63505,1.14863,0.72144,0.87739,0.0001981,0.0001981,0.0001981
83,2932.29,1.00724,0.76702,0.90085,0.96245,0.98943,0.97045,0.65829,1.08479,0.7011,0.87385,0.0001882,0.0001882,0.0001882
84,2968.13,0.97929,0.77548,0.91071,0.96025,0.97949,0.97612,0.67806,1.02218,0.69613,0.87044,0.0001783,0.0001783,0.0001783
85,3004.43,0.9838,0.7727,0.89035,0.95886,0.97949,0.97742,0.68469,1.02227,0.6939,0.86951,0.0001684,0.0001684,0.0001684
